,OLS,Ridge,Lasso,variance
annee,110014262.6692,82789328.4528,84703233.3301,230918046862602.56
boites_total,2153597845.1975,576106722.3459,456733539.0865,8.970127788184264e+17
ATC_ANTINEOPLASIQUES ET AGENTS IMMUNOMODULANTS,897001243.2874,760785981.8663,764850044.4949,6005842231890140.0
"ATC_ANTIPARASITAIRES, INSECTICIDES ET REPULSIFS",-96535308.2206,-246852837.6197,-243682552.7215,7376286985863840.0
ATC_Anti-infectieux (usage systmique),43046802.0933,50124203.0232,57887819.1259,55103187578805.31
ATC_Anti-infectieux (usage systémiq,6639671.5013,9078045.9943,17480582.3015,32345605589986.664
ATC_Anti-infectieux (usage systémique),15350126.948,5704566.1404,23289327.8291,77548599595390.78
ATC_Antinoplasiques et agents immunomodulants,611239558.2048,534883512.6755,537026252.5671,1890408626133876.2
ATC_Antinéoplasiques et agents immu,256542625.607,168957993.5233,170776577.0902,2505031683601955.0
ATC_Antinéoplasiques et agents immunomodulants,782264400.266,596769868.6936,601867494.7385,1.116287509306637e+16
"ATC_Antiparasitaires, insecticides",-34194986.7669,-126126824.0851,-123442740.2569,2737304753617221.0
"ATC_Antiparasitaires, insecticides et rpulsifs",-62629431.1188,-148233208.8557,-146150573.7222,2384687565619334.0
"ATC_Antiparasitaires, insecticides et répulsifs",-95795197.1487,-294471933.3026,-290039888.393,1.2870514764567804e+16
ATC_DERMATOLOGIE,-144555631.3227,-217387400.3553,-208313639.8078,1575313892811968.2
ATC_DIVERS,-71522899.0344,-218468182.4427,-215004593.8527,7031984918297634.0
ATC_Dermatologie,-228290289.3785,-339527514.2383,-325346721.8688,3665794359073590.0
ATC_Divers,-71027438.3406,-298538096.9324,-293100859.0784,1.685121125442462e+16
"ATC_HORMONES SYSTEMIQUES, A L EXCLUSION DES HORMONES SEXUELLES ET DES INSULINES",-95857083.4164,-188549743.4742,-180939759.823,2648150484044117.0
"ATC_Hormones systmiques,  l exclusion des hormones sexuelles et des insulines",-57115616.7156,-110771492.302,-106218982.8268,885136481819638.8
"ATC_Hormones systémiques, à l exclu",-46675826.9796,-97135870.398,-91273407.9305,761588112441063.8
"ATC_Hormones systémiques, à l exclusion des hormones sexuelles et des insulines",-101755932.083,-222664882.5649,-212250957.1978,4489429120548582.0
ATC_ORGANES SENSORIELS,-32225668.7929,-102884999.6705,-93487640.7992,1472346767988300.0
ATC_Organes sensoriels,-46827417.9134,-166775927.9178,-153020854.0765,4308982165469872.0
ATC_SANG ET ORGANES HEMATOPOIETQUES,65731673.0428,46561151.1217,58471516.7544,93679264927157.77
ATC_SYSTEME CARDIO-VASCULAIRE,-147537739.9328,-50443354.1651,-28278294.2832,4023570833969364.0
ATC_SYSTEME DIGESTIF ET METABOLISME,-323704579.6417,-41642652.5961,-5468017.239,3.0357007430304732e+16
ATC_SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,-125010739.7473,-217358254.6064,-209764008.9458,2628142117936069.0
ATC_SYSTEME MUSCULO-SQUELETTIQUE,-155885967.9371,-220944609.9943,-211290578.4873,1232583016813796.2
ATC_SYSTEME NERVEUX,-929005764.8163,-164042748.8862,-91497830.488,2.1530845349814656e+17
ATC_SYSTEME RESPIRATOIRE,-41708637.3117,-38465952.4036,-23385747.6186,95609311412880.22
ATC_Sang et organes hmatopoitiques,33236215.2929,23759030.1226,30229893.4011,23454513606429.66
ATC_Sang et organes hématopoiétique,-4120936.6815,-28294531.4409,-20345009.1114,151796352510941.78
ATC_Sang et organes hématopoiétiques,13221419.4916,-26718511.3077,-9906396.5045,402123524860663.4
ATC_Systme cardio-vasculaire,-69367969.6355,-9729676.7697,1923327.6099,1462494591655286.5
ATC_Systme digestif et mtabolisme,-162027938.8274,6048671.3383,25930092.1609,1.0662206531952046e+16
ATC_Systme gnito-urinaire et hormones sexuelles,-77804160.2549,-130232176.1965,-125615256.8531,842652292953071.4
ATC_Systme musculo-squelettique,-87394184.2422,-125580293.6274,-119879038.8101,424324838794149.2
ATC_Systme nerveux,-467547976.7726,-40224092.4794,0.0,6.7137465047905e+16
ATC_Systme respiratoire,-22654780.8399,-19980656.8642,-11036470.3909,37022424732903.4
ATC_Système cardio-vasculaire,-200160458.3951,-65002104.7956,-33114043.0514,7864855651455659.0
ATC_Système digestif et métabolisme,-429623924.1877,-87803249.0424,-40307457.8309,4.511075585268954e+16
ATC_Système génito-urinaire et horm,-48918961.9285,-103773623.3424,-98253769.8967,912237656359964.9
ATC_Système génito-urinaire et hormones sexuelles,-133634676.0706,-253585357.6925,-243143096.0337,4414883482156296.5
ATC_Système musculo-squelettique,-228402101.907,-311291259.3639,-296243372.6892,1949914889770756.0
ATC_Système nerveux,-1317766496.1879,-284016539.017,-184430026.3958,3.9383466686799514e+17
ATC_Système respiratoire,-142381670.4772,-157058767.9067,-136635016.5703,110928473121667.06
